"Selection Sort","Insertion Sort"
6742100,194300
6805800,191100
5708000,255900
3789500,409000
3830600,190300
4403400,188800
5010700,193100
5356200,187500
5355700,187200
5375700,195400
5199600,195400
5472700,195200
5632700,204500
6062800,209100
5544600,204500
5608200,204500
5122100,213100
5357100,321400
5192500,281400
5300500,196100
5159100,212500
5212800,204900
4647400,209000
4720600,204800
5187100,229500
6551500,218900
5162100,215000
5154500,215000
5300800,219000
5157400,215000
5159400,216000
5374800,220400
5159800,215500
5179400,215000
5477400,219500
5163900,215400
5471400,215600
10293100,215400
10270200,215900
10197600,215100
9922000,215300
10060500,216000
6930900,215400
5159800,214900
5571000,215000
9819100,214900
9849000,215000
9758500,218900
9256000,214700
9919200,214800
9783600,219100
9732300,214800
9827200,214800
9818600,219100
6705000,214800
5440100,214700
5566900,218900
5288800,214900
9623600,214900
6884000,218700
5940000,214900
6306800,214800
4257600,218900
5226100,214700
6708300,214800
6822300,214900
9071100,215800
10080300,215100
14240000,214700
11071400,215100
10454800,215400
10875200,214800
10751100,215200
10479600,215100
9911300,215300
9322800,218700
9859100,214800
10008000,214600
10147700,218800
10107700,214700
10160000,214600
9111400,221700
8773400,216000
10547000,216600
10571700,223800
10261100,240400
9682000,232900
7802900,220200
4988000,215000
3907900,215100
4976900,269400
6272900,215000
4357900,215100
3961200,219200
4459300,420100
5191800,332200
5440100,329200
5436300,355300
5516200,366800
5429900,387800
5527400,339800
5594900,341800
7992200,342100
10075700,297600
5644100,216100
5570400,215900
5431600,215000
5223800,214900
5165400,218600
5196400,214400
4994600,214300
5052100,214500
4518800,218800
4465700,214600
4524800,214500
4702600,214300
4544700,214400
4443900,245300
4402200,215100
4461000,215100
4372200,214700
4296400,218900
4337600,214700
4344900,214400
4403900,214400
4203100,218400
4298700,214600
4360300,214500
4298800,214500
4364200,214600
4213900,218200
4340200,214300
4295700,214200
4527700,214400
4300200,217900
4333700,214500
4666400,214200
4214200,238400
4290300,229900
4308200,225700
4417200,225700
4298700,225400
4328700,229600
4326700,225800
4371800,225200
4314700,225500
4351800,225300
4401000,225900
4305000,225500
4297800,225600
6467800,225400
4372800,236600
4831100,225600
4963700,225600
4556700,225300
4665500,229700
4912700,225300
4948400,240600
4932600,214100
5024600,217700
5011400,214000
5108000,214100
4912100,213900
4959600,218100
4938900,214300
4913900,214000
4910700,214100
5820500,214000
4135500,217600
3732300,214100
3731700,214200
3813300,214200
3604600,218000
3521300,214200
3768700,214000
3938700,214200
3650100,214000
3612900,218100
3863100,214200
3825000,214200
3706600,214100
3529500,217900
3777900,214200
3934900,214300
4314800,214200
3896100,222400
4417700,221400
4258400,214500
4810900,214200
5202600,214200
7596900,218400
9828100,214100
9885700,214000
6256200,214100
5458800,218300
5578400,214300
5438500,214100
5520100,214200
5465000,217900
5370600,214200
6256900,214200
5136100,214300
5153500,214200
5086500,218200
4988500,214200
4481400,214200
4578500,214100
4510700,217900
4504400,214200
4514100,214300
4488200,214100
4390600,214100
4394800,223500
4385700,214100
4303700,214100
4324400,214000
4302400,218500
4348400,214400
4465600,214000
4360800,214000
4347600,217900
4218300,214200
4301300,214300
4350300,214000
4313700,214000
4301900,217900
4302900,214100
4360100,214000
6352900,214100
4299600,217800
4387900,220500
4309300,214200
4298300,214200
4299300,214900
4376400,214100
4338600,214000
4297700,213900
4298200,214000
4423000,217900
4296100,214200
4299900,214200
4315500,214200
4383100,218200
4335100,214200
4296100,214200
4436200,214100
7916600,214100
5429500,218000
4703700,214100
4568700,214100
4611100,214000
5407500,218200
5184000,214300
5189600,214100
5196700,214100
5211000,218900
5179000,234400
5220900,214500
6011100,214500
5245900,214200
5376200,218500
5494700,214400
5200500,214400
5202200,214400
5395200,218500
4551000,214300
4376500,214100
4435500,214000
4542900,217400
3953800,214100
3715300,214300
3832800,214200
3717600,214100
3600100,217900
3587000,214200
3777600,214100
3823900,214100
4048600,218000
3974700,214100
4183300,214200
4515800,214100
4532400,214100
4466800,217900
4874800,214100
4937700,214200
4556700,214300
4569700,218000
4656500,215700
4507900,215300
4525100,214400
4069000,218800
4483100,216700
4395200,224800
4315600,214400
4490900,219200
4509700,214200
4213000,214100
4455200,214100
4490800,214100
4491500,217900
4211700,214200
4416500,214500
4011300,214200
4114800,217500
6240300,214100
4617100,214100
4332000,214100
4312500,214100
4299100,217700
4405700,214300
4378800,214100
4362100,214000
4501400,214100
4570600,217800
4665000,214200
4494600,214100
4565100,214000
4496500,217800
4673800,214100
4582700,214000
4495900,214000
4686900,214100
4346400,217700
4320700,214100
5102200,214000
5153500,214000
4986500,214000
4996600,242500
4940800,252100
4604600,263500
4440500,236400
4639300,285500
4096200,220700
4143400,205100
4510900,212700
4432800,201600
4433300,195000
4454200,194700
4333400,194900
4486800,217100
4278600,207800
4373300,204100
4327000,204100
4328100,203900
4300900,227700
4321400,240200
4313800,214400
4275300,214300
4280500,214300
4129400,218000
4533900,214200
5525300,214200
4537600,214100
4104200,214000
4654700,217800
3200400,214200
2833500,214000
3049500,214000
3444900,217800
3104400,214000
2890000,214200
2777200,214100
2728900,214000
2932300,217800
2731500,221900
2724900,214200
2847600,214000
2726900,214000
2774400,217900
2742000,214200
2773200,214100
2742300,214000
2819600,217900
2729800,214200
2795900,214100
2725100,214200
2726300,214200
3173900,217800
4298400,214100
2799400,214000
2728500,214100
2753300,214300
2726700,219200
2813900,214100
2729400,214100
3688200,214100
3602300,218100
2964100,214300
2895200,214300
3001300,214200
3229500,221400
3248000,207300
3091900,204000
2950800,203800
2846800,203900
2807800,204000
2794800,228700
2808000,215700
2823100,277600
2870200,205100
2885900,209000
3086300,204600
2885200,204400
2871000,204100
3820400,204100
3965400,207800
3078600,204300
3482000,203900
4004600,203900
2840900,204100
2900900,207600
2839700,204200
2953000,204100
2993300,204200
3013100,204100
2852200,207500
2901800,204100
2802000,204100
2831100,204000
3373400,207600
3439600,204100
3679200,204100
3450200,204000
2838100,204100
2797500,207700
2822200,204200
2902700,204100
2858800,204200
2829700,204100
3201300,207500
2926000,204100
3947400,204000
3159500,204000
2836400,204100
3603200,207300
2861000,204100
3028900,204000
3008200,204000
3053100,213800
3219700,198600
3095700,194800
2985500,194800
2900600,194600
2885700,194800
2811000,205400
2802700,186400
2911100,186300
2934300,186200
4442600,186200
2800400,189600
3258000,186600
2943200,186300
3017000,186200
3031900,186300
